archivo_pdf,paginas_pdf,tipo_informe,codigo_documento,nombre_edificacion_informe,ubicacion_informe,lat_informe,lon_informe,fecha_inspeccion_informe,evaluadores,supervisor,dictamen_etiqueta,recomienda_demolicion,inviabilidad_reparacion,uso,anio_construccion_informe,num_pisos_informe,num_sotanos_informe,area_planta_m2,sistema_estructural,piso_critico_mencionado,hallazgos_flags,n_evidencias_fotograficas_citadas,extracto_conclusiones,texto_disponible,chars_texto_extraido,match_calidad,match_score,hab_id,hab_certificado,hab_etiqueta,hab_nombre,hab_direccion,hab_municipio,hab_parroquia,hab_num_pisos,hab_material,hab_uso,hab_inspector,hab_created_at,hab_estatus_demolicion,hab_lat,hab_lng,hab_obs,match_alternativos,nombre_norm,nombre_archivo_norm
INFORME TECNICO RESIDENCIAS VENLIV.pdf,5,Justificación técnica de demolición,,"Residencias Venliv, clasificada con Etiquetado de Riesgo Color Rojo (Inhabitable / Alto Riesgo).",,,,11 de agosto de 2026,,,INSEGURO (Rojo) — confirmado/citado,Parcial/implícito,No detectado,,,,,,,,perdida_verticalidad; cerramientos; peligro_aledanos; acordonamiento; apuntalamiento,0,4.1. Conclusiones Condición de Riesgo Crítico: El colapso del nivel de planta baja combinado con el desplazamiento horizontal importante ratifica la condición de Etiqueta Roja (Inhabitable / Alto Riesgo) y la urgencia de su demolición. Inestabilidad Inminente: La masa de los 7 pisos superiores apoyada precariamente sobre la base fallada convierte a la edificación en la estructura de mayor vulnerabilidad e inestabilidad inmediata del sector. 4.2. Relevancia como Caso de Estudio Falla por Piso Bla,Sí,6454,Alto,1.0,116240,23631140720261343,NEGRO,Residencia Venliv ,La Guaira tanaguarena,VARGAS,CARABALLEDA,5.0,Concreto,Vivienda Edificio,Ruth Karla Briceño Bolivar,2026-07-14 13:45:06,,10.61240078136229,-66.82682915761922,nan,"RESIDENCIAS VENLIV (NEGRO, score=1.0, id=98050) | Residencias Venliv (NEGRO, score=1.0, id=71682)",venliv clasificada con etiquetado riesgo color rojo inhabitable alto riesgo,venliv
INFORME TECNICO RESIDENCIASEN CONSTRUCCION.pdf,3,Justificación técnica de demolición,,Edificio en construcción.,"Av. La Costanera, parroquia Caraballeda, Municipio Vargas, Estado La",,,,,,Dictamen orientado a demolición (sin etiqueta explícita en texto),Sí,No detectado,,,,,,,,falla_columnas; perdida_verticalidad,0,"1. Fragilidad Estructural y Riesgo de Falla Frágil: La ausencia de acero de refuerzo adecuado en una columna del primer piso elimina la ductilidad del elemento. Al tratarse de un nivel intermedio, esta columna soporta una gran acumulación de cargas gravitacionales de los pisos superiores; sin el refuerzo necesario, cualquier sobrecarga menor o esfuerzo residual puede desencadenar su aplastamiento o colapso repentino. 2. Inestabilidad Geométrica: El desplazamiento horizontal hacia el oeste en tre",Sí,3824,Alto,0.9,1195,299060720261817,ROJO,Edificio C,"La Guaira, Catia la Mar, calle principal ",VARGAS,CATIA LA MAR,14.0,Concreto y Mampostería Formal,Vivienda Edificio,Danielys Alejandra Henriquez Padron,2026-07-06 18:19:35,,10.595556,-67.040833,"Fecha de inspección: 30/06/2026
Inspector: 
Fernando Jiménez v6976906

Observaciones: agua abierta y no se sabe cómo cerrar. Tanque de gas desconectado pero sigue con gas ",,en construccion,residenciasen construccion
informe_tecnico_castromar_final_firmado.pdf,2,Justificación técnica de demolición,,tecnico_castromar_final_firmado,"Urbanización Tanaguarena, Estado La Guaira, Venezuela",,,,María Alejandra Camargo Mora Ingeniero Civil; Milagros Lara Ingeniero Civil,,INSEGURO (Rojo) — confirmado/citado,Sí,No detectado,,,4,,,,,falla_columnas; perdida_verticalidad; dano_vigas; dano_losas; cerramientos; peligro_aledanos; acordonamiento; apuntalamiento; monitoreo_vecinos,0,"mediante Etiqueta Roja. 2) La simetría teórica original del diseño fue anulada por la degradación patológica asimétrica de las columnas de la base, induciendo la torsión catastrófica. 3) Existe peligro inminente de colapso progresivo (efecto dominó) disparado por réplicas menores (aftershocks), asentamientos diferenciales o vibraciones de tránsito. Recomendaciones Inmediatas: 1. Establecimiento de Zona de Exclusión Total: Restringir de inmediato el acceso peatonal y vehicular en un radio de 22 m",Sí,6213,Alto (alias manual),1.0,32666,3470100720261709,ROJO,Res. Castromar,Av la playa de tanaguarena ,VARGAS,CARABALLEDA,4.0,Concreto,Vivienda Edificio,Ortiz Quintero Yulianna Del Valle,2026-07-10 22:20:21,,10.6100347,-66.8257627,Piso 1 colapsado ,,castromar,castromar
inspeccion- Residencias arrecife 8914120720261124.pdf,4,Ficha PNUD / ATC-20 detallada,,Material predominante,,10.6124794,-66.8270985,12/07/2026,,,,No detectado en texto,No detectado,,,,0,,,PISO CRÍTICO Y DAÑO SEVERO/COMPLETO,perdida_verticalidad; cerramientos; peligro_aledanos,0,,Sí,2469,Alto (alias manual),1.0,68099,8914120720261124,ROJO,Residencias arrecife ,"Avenida la playa, tanaguarenas",VARGAS,CARABALLEDA,8.0,Concreto,Vivienda Edificio,Yohandy Alexi Miquilena Toyo,2026-07-12 11:25:46,,10.6124794,-66.8270985,nan,"Vista Mar Arrecife Torre E (ROJO, score=0.9, id=3713)",material predominante,arrecife
Justificación de demolición Residencias Brisamar.pdf,4,Justificación técnica de demolición,DGPS-006-03-08-2026,Residencias Brisamar,,,,15/04/2026,Johan Bellorin Ingeniero Supervisor CIV; Trino Baloa CIV,CIV. 306.361,Colapso / escombros,Sí,No detectado,,,,,,,,falla_columnas; perdida_verticalidad; dano_vigas; dano_losas; cerramientos; peligro_aledanos,0," Más allá de la tragedia material, este evento representa un caso de estudio fundamental para la ingeniería estructural y sismorresistente. El complejo residencial, al estar compuesto por dos estructuras separadas por una junta de dilatación, ofrece un laboratorio a escala real de incalculable valor científico. El hecho de que la Torre A no presente daños severos mientras la Torre B experimentó un colapso inminente, plantea un paradigma crítico. Este comportamiento fuertemente asimétrico permite",Sí,5102,Alto (alias manual),1.0,131643,31551150720260743,ROJO,Edificio Brisamar,"El teleférico, frente a tribunales, macuto, la guaira",VARGAS,MACUTO,14.0,Concreto,Vivienda Edificio,Yenry Jose Torres,2026-07-15 07:44:33,,10.609862373349706,-66.88146114349367,"El edificio consta de dos Torres (A y B) separadas por junta de dilatación , la Torre A quedó en pie con daños en mampostería hasta el piso 7, pero, la Torre B colapsó las bases en Planta baja y el piso 1 de la torre B r",,brisamar,brisamar
la cascada.pdf,3,Justificación técnica de demolición,DGPS-007-05-08-2026,"Aplastamientodelniveldeplantabaja,seobservaronfallasenlosnodosdelaestructura","Avenida José María España, Sector Caribe, Parroquia Caraballeda,",,,15/04/2026,Johan Bellorin Ingeniero Supervisor CIV; Trino Baloa CIV,CIV. 306.361,Dictamen orientado a demolición (sin etiqueta explícita en texto),Sí,No detectado,,,4,,625,,,falla_columnas; perdida_verticalidad,0,de proceder con lademolición totalde la estructura.,Sí,2465,Alto,0.9,201966,40344280720261252,ROJO,SN,"El Cederal, casa SN",VARGAS,EL JUNKO,1.0,Concreto,Vivienda Casa,Jose Ricardo Urbina Garcia,2026-07-28 14:22:21,,10.4813698,-67.0872311,"La estructura de la vivienda popular consta de una losa de concreto apollada sobre una pared de bloque trabado. La misma presenta separación en el apoyo de de la losa y la tabiquería, la losa presenta también presenta fi","P (ROJO, score=0.9, id=195070) | P (ROJO, score=0.9, id=195038)",aplastamientodelniveldeplantabaja seobservaronfallasenlosnodosdelaestructura,cascada
las palmeras.pdf,2,Recolección de escombros / post-colapso,DGPS-008-05-08-2026,Las Palmeras,"Avenida José María España, Sector Caribe, Parroquia Caraballeda,",,,05 de agosto 2026,,,Colapso / escombros,No detectado en texto,No detectado,,,6,,330,,,,0,,Sí,1442,Alto,1.0,454581,446546190820261317,NEGRO,edificio las palmeras,"Vargas, La Guaira, 11, Venezuela",VARGAS,CARABALLEDA,7.0,Concreto,Industrial,Cristian Conrado,2026-08-19 13:17:26,,10.615520079513264,-66.84448889515802,nan,"Las palmeras (VERDE, score=1.0, id=117493) | Caserío las palmeras  (VERDE, score=0.9, id=75916)",palmeras,palmeras
maribel.pdf,2,Recolección de escombros / post-colapso,DGPS-009-05-08-2026,Maribel,,,,15/04/2026,Johan Bellorin Ingeniero Supervisor CIV; Trino Baloa CIV,CIV. 306.361,Colapso / escombros,No detectado en texto,No detectado,,,,,342,,,,0,,Sí,1683,Alto,0.9,196881,32551270720261027,ROJO,Casa SN Maribel López,"Vargas, La Guaira, 10, Venezuela calle faltrisquera",VARGAS,EL JUNKO,1.0,Mampostería informal,Vivienda Casa,Daniela Fernandez,2026-07-27 10:27:53,,10.486486486486486,-67.0660931266445," la vivienda de mampostería informal, bloque trabado, sufrió daños en las paredes por el sismo, están flojas, se recomendó desalojar las áreas de la casa en las que pueden colapsar las paredes ya que son las que soportan","Maribel Vázquez (ROJO, score=0.9, id=172032)",maribel,maribel
miramar.pdf,2,Recolección de escombros / post-colapso,DGPS-010-05-08-2026,Miramar,,,,15/04/2026,Johan Bellorin Ingeniero Supervisor CIV; Trino Baloa CIV,CIV. 306.361,Colapso / escombros,No detectado en texto,No detectado,,,12,,396,,,,0,,Sí,1686,Alto,1.0,334610,411752100820261308,ROJO,Miramar,"Caracas, Distrito Capital, 10, Venezuela",VARGAS,CARABALLEDA,1.0,Concreto,Vivienda Casa,Diobert Jesus Rosales Quezada,2026-08-10 13:09:21,,10.6189729,-66.8461721,colapsado,"Antiguo Hotel Miramar (ROJO, score=0.9, id=175729) | Casa S/N Calle Miramar (ROJO, score=0.9, id=171808)",miramar,miramar
opppe 27.pdf,2,Recolección de escombros / post-colapso,DGPS-012-05-08-2026,OPPPE 27,,,,15/04/2026,Johan Bellorin Ingeniero Supervisor CIV; Trino Baloa CIV,CIV. 306.361,Colapso / escombros,No detectado en texto,No detectado,,,13,,790,,,,0,,Sí,1520,Alto,0.9,133995,119422150720261027,NEGRO,Edificio OPPPE 27-G,"Vargas, La Guaira, 11, Venezuela",VARGAS,CARABALLEDA,13.0,Concreto,Vivienda Edificio,Jesús Israel González Pulido,2026-07-15 10:28:26,,10.61533813942791,-66.83988690376283,nan,"Edificio OPPPE-27-A (NEGRO, score=0.9, id=133196) | Edificio OPPPE 27-B (NEGRO, score=0.9, id=133181)",opppe 27,opppe 27
riomar (1).pdf,2,Recolección de escombros / post-colapso,DGPS-011-05-08-2026,Miramar,,,,15/04/2026,Johan Bellorin Ingeniero Supervisor CIV; Trino Baloa CIV,CIV. 306.361,Colapso / escombros,No detectado en texto,No detectado,,,12,,480,,,,0,,Sí,1621,Alto,1.0,334610,411752100820261308,ROJO,Miramar,"Caracas, Distrito Capital, 10, Venezuela",VARGAS,CARABALLEDA,1.0,Concreto,Vivienda Casa,Diobert Jesus Rosales Quezada,2026-08-10 13:09:21,,10.6189729,-66.8461721,colapsado,"Antiguo Hotel Miramar (ROJO, score=0.9, id=175729) | Casa S/N Calle Miramar (ROJO, score=0.9, id=171808)",miramar,riomar
